symbol,side,strategy,pnl_usdt,close_reason,entry_ts,close_ts
BTCUSDT,SHORT,RANGE_BREAKOUT_RETEST_GO,-0.08147476210512036,SL,2024-01-03T11:15:00+00:00,2024-01-03T11:45:00+00:00
BTCUSDT,SHORT,RANGE_BREAKOUT_RETEST_GO,-0.07760819895131489,SL,2024-01-03T11:30:00+00:00,2024-01-03T12:00:00+00:00
BTCUSDT,SHORT,RANGE_BREAKOUT_RETEST_GO,-0.3561184026826455,SL,2024-01-03T11:45:00+00:00,2024-01-03T12:15:00+00:00
BTCUSDT,SHORT,RANGE_BREAKOUT_RETEST_GO,-0.3303192481220017,SL,2024-01-03T12:00:00+00:00,2024-01-03T15:45:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.08405526837842897,SL,2024-01-04T14:45:00+00:00,2024-01-04T15:15:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.08331187325955335,SL,2024-01-04T15:00:00+00:00,2024-01-04T15:30:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.374596613739201,SL,2024-01-04T15:15:00+00:00,2024-01-04T16:00:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.07326878870079052,SL,2024-01-04T15:45:00+00:00,2024-01-04T17:00:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.07392534815607457,SL,2024-01-04T19:15:00+00:00,2024-01-04T20:30:00+00:00
BTCUSDT,SHORT,FAILED_BREAKOUT_OR_FAILED_EMA200_FADE,-0.36177696969279094,SL,2024-01-04T20:30:00+00:00,2024-01-04T21:00:00+00:00
BTCUSDT,SHORT,FAILED_BREAKOUT_OR_FAILED_EMA200_FADE,-0.35523007731209344,SL,2024-01-04T21:00:00+00:00,2024-01-04T22:15:00+00:00
BTCUSDT,LONG,FAILED_BREAKOUT_OR_FAILED_EMA200_FADE,-0.34768082990440047,SL,2024-01-05T01:45:00+00:00,2024-01-05T02:15:00+00:00
BTCUSDT,SHORT,FAILED_BREAKOUT_OR_FAILED_EMA200_FADE,-0.36988487507003315,SL,2024-01-05T20:45:00+00:00,2024-01-05T22:00:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.4260640000819601,SL,2024-01-07T00:30:00+00:00,2024-01-07T01:45:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.16453060694317884,SL,2024-01-07T13:15:00+00:00,2024-01-07T14:00:00+00:00
BTCUSDT,LONG,RANGE_BREAKOUT_RETEST_GO,-0.4513525355445175,SL,2024-01-07T13:45:00+00:00,2024-01-07T15:15:00+00:00
