timestamp_utc,symbol,setup,direction,close,reason,confidence,entry,sl,tp
,BEATUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,XRPUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,BTCUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,BTCUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,SUIUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,NEARUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,SIGNUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,RESOLVUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,BTCUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,BTCUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,SOLUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,XRPUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,XRPUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,DOGEUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,DOGEUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,SUIUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,ADAUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,LINKUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,AAVEUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
,AAVEUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,AVAXUSDT,RANGE_BREAKOUT_RETEST_GO,LONG,,Breakout above previous high with momentum,0.68,,,
,ENAUSDT,TREND_PULLBACK_EMA20,LONG,,Trend continuation: EMA stack + MACD + RSI,0.62,,,
